user_id,language_id,proficiency
fe2d46cb-e0b1-44bc-b076-29b0b8e7c211,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
fe2d46cb-e0b1-44bc-b076-29b0b8e7c211,e6a76862-a76d-433e-987a-e0eb9c92f281,fluent
fe2d46cb-e0b1-44bc-b076-29b0b8e7c211,7987428a-4751-472e-88e2-5ff4598d5372,beginner
607fcf49-7456-44c6-bb4e-1a3f1429739e,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,native
607fcf49-7456-44c6-bb4e-1a3f1429739e,7987428a-4751-472e-88e2-5ff4598d5372,fluent
607fcf49-7456-44c6-bb4e-1a3f1429739e,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
f1b5e9f8-50fc-4e60-b822-e1730940bf21,7501fc06-284a-4834-a105-4ab7f78e8610,beginner
ca2f6f0c-4c16-4413-8ae1-807e88a21578,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
b071b687-6c6d-4983-b0e0-292fd635db95,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
c55bf5a4-c8ee-49e2-8083-32b06430027a,7501fc06-284a-4834-a105-4ab7f78e8610,conversational
8f2529b1-bc32-46af-91a0-7324cd5d38f7,7987428a-4751-472e-88e2-5ff4598d5372,fluent
8f2529b1-bc32-46af-91a0-7324cd5d38f7,8efe2c4e-1258-4530-a461-e750f00d5192,native
8f2529b1-bc32-46af-91a0-7324cd5d38f7,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
4dff8b74-8f48-4ee5-a0d5-d025de6581df,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
4dff8b74-8f48-4ee5-a0d5-d025de6581df,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,native
4dff8b74-8f48-4ee5-a0d5-d025de6581df,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,conversational
470b8676-7bf6-4107-856d-3f6d6c0bdcf3,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,native
9c21c4b3-0839-4c0f-ab04-dc9ab3378b33,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,native
9c21c4b3-0839-4c0f-ab04-dc9ab3378b33,7501fc06-284a-4834-a105-4ab7f78e8610,native
1112fa14-8b0d-4294-97e7-78b8faa275e7,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,native
9b93a8d5-8ff4-4b43-9181-12e40f69608d,9423db92-96c8-4d76-b95e-c9cc15854ce5,beginner
9b93a8d5-8ff4-4b43-9181-12e40f69608d,8efe2c4e-1258-4530-a461-e750f00d5192,fluent
d84c9432-37c6-487d-bb86-26c28019af71,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
30f4deb0-fa2d-446b-9f07-e23145a00df2,9423db92-96c8-4d76-b95e-c9cc15854ce5,conversational
30f4deb0-fa2d-446b-9f07-e23145a00df2,8efe2c4e-1258-4530-a461-e750f00d5192,native
7701e1e9-8626-4baf-a06d-746efdbf99cd,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
7701e1e9-8626-4baf-a06d-746efdbf99cd,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
52a7087b-14d4-43a4-8c99-ab52b7fbd8b9,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,fluent
52a7087b-14d4-43a4-8c99-ab52b7fbd8b9,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
686202f6-815e-4861-86c7-9223357dd495,e6a76862-a76d-433e-987a-e0eb9c92f281,conversational
0758fcef-5943-423a-8a79-6e2d6ebb8fca,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,beginner
0758fcef-5943-423a-8a79-6e2d6ebb8fca,8efe2c4e-1258-4530-a461-e750f00d5192,beginner
bf4e210f-643a-4759-ab83-8af17b86f043,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
8d30e723-0cfb-4643-8129-a17371a64527,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,fluent
8d30e723-0cfb-4643-8129-a17371a64527,8efe2c4e-1258-4530-a461-e750f00d5192,native
8d30e723-0cfb-4643-8129-a17371a64527,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,native
e55d2630-e29c-44bc-8b64-956bd7a1b971,fc4c07d8-900d-4ef5-b080-34c64e26d848,conversational
200962be-acdd-4774-989f-9693038dc1f9,fc4c07d8-900d-4ef5-b080-34c64e26d848,native
200962be-acdd-4774-989f-9693038dc1f9,9423db92-96c8-4d76-b95e-c9cc15854ce5,conversational
200962be-acdd-4774-989f-9693038dc1f9,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
ec9e84b7-4380-475f-abe1-19dc237d8838,7501fc06-284a-4834-a105-4ab7f78e8610,native
ec9e84b7-4380-475f-abe1-19dc237d8838,fc4c07d8-900d-4ef5-b080-34c64e26d848,conversational
e988c06d-c9af-462a-aad4-351afdcbd61e,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
44d1d696-aa73-495f-b7c7-6cb925f14d86,8efe2c4e-1258-4530-a461-e750f00d5192,native
44d1d696-aa73-495f-b7c7-6cb925f14d86,7501fc06-284a-4834-a105-4ab7f78e8610,beginner
8e1771ae-a663-4b41-b85a-4fbbaab08c09,7501fc06-284a-4834-a105-4ab7f78e8610,native
8e1771ae-a663-4b41-b85a-4fbbaab08c09,7987428a-4751-472e-88e2-5ff4598d5372,conversational
06062749-71be-4084-be3c-291cbc099043,e6a76862-a76d-433e-987a-e0eb9c92f281,fluent
06062749-71be-4084-be3c-291cbc099043,9423db92-96c8-4d76-b95e-c9cc15854ce5,beginner
7333a73e-5fbe-44b6-96eb-f697c336a3c4,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,fluent
7333a73e-5fbe-44b6-96eb-f697c336a3c4,8efe2c4e-1258-4530-a461-e750f00d5192,native
dda0e5f5-c4bf-4700-bf25-4b41a1fbd6da,8efe2c4e-1258-4530-a461-e750f00d5192,fluent
dda0e5f5-c4bf-4700-bf25-4b41a1fbd6da,9423db92-96c8-4d76-b95e-c9cc15854ce5,fluent
7648902a-b27b-4c58-814a-a4d59824af50,7987428a-4751-472e-88e2-5ff4598d5372,conversational
7648902a-b27b-4c58-814a-a4d59824af50,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,native
7648902a-b27b-4c58-814a-a4d59824af50,9423db92-96c8-4d76-b95e-c9cc15854ce5,fluent
d3f90615-2718-4e1d-831b-156e4ce6fa77,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,fluent
d3f90615-2718-4e1d-831b-156e4ce6fa77,7987428a-4751-472e-88e2-5ff4598d5372,native
b89513fb-9038-4fef-9413-3ac2c9770159,8efe2c4e-1258-4530-a461-e750f00d5192,beginner
b89513fb-9038-4fef-9413-3ac2c9770159,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
33e2731e-d8db-49e0-a068-e466ae0381fc,fc4c07d8-900d-4ef5-b080-34c64e26d848,beginner
33e2731e-d8db-49e0-a068-e466ae0381fc,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
33e2731e-d8db-49e0-a068-e466ae0381fc,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
e8e1c68f-c4a9-495a-89ba-a67a4ab0c32e,7501fc06-284a-4834-a105-4ab7f78e8610,native
e8e1c68f-c4a9-495a-89ba-a67a4ab0c32e,e6a76862-a76d-433e-987a-e0eb9c92f281,native
a2e936a7-7186-45c8-8868-f4d826eeb864,7501fc06-284a-4834-a105-4ab7f78e8610,conversational
80e20a68-1053-46a0-b7cd-302fc90ad627,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
80e20a68-1053-46a0-b7cd-302fc90ad627,8efe2c4e-1258-4530-a461-e750f00d5192,beginner
e918ae65-c7bf-4494-a8d4-4c983a923cf4,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,native
e918ae65-c7bf-4494-a8d4-4c983a923cf4,8efe2c4e-1258-4530-a461-e750f00d5192,beginner
d8b0e2bb-459d-48f1-b42f-31a6bbddf77e,fc4c07d8-900d-4ef5-b080-34c64e26d848,beginner
d8b0e2bb-459d-48f1-b42f-31a6bbddf77e,e6a76862-a76d-433e-987a-e0eb9c92f281,conversational
8b4db567-6b55-4919-a469-a526a882589a,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
8b4db567-6b55-4919-a469-a526a882589a,9423db92-96c8-4d76-b95e-c9cc15854ce5,native
8b4db567-6b55-4919-a469-a526a882589a,fc4c07d8-900d-4ef5-b080-34c64e26d848,fluent
98146436-8ead-46c6-9ea5-772d2205afcf,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
98146436-8ead-46c6-9ea5-772d2205afcf,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,fluent
25accb22-0a57-4ad6-b6dd-e759cfc1b551,fc4c07d8-900d-4ef5-b080-34c64e26d848,conversational
ccdfc525-a373-48a0-a44f-89caab65176a,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,native
ccdfc525-a373-48a0-a44f-89caab65176a,8efe2c4e-1258-4530-a461-e750f00d5192,conversational
ae78ff3d-f828-4ce3-aa58-7efc285cc5e7,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,beginner
ae78ff3d-f828-4ce3-aa58-7efc285cc5e7,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,fluent
05d82f52-c13d-4578-923e-9c84c141f52a,e6a76862-a76d-433e-987a-e0eb9c92f281,conversational
05d82f52-c13d-4578-923e-9c84c141f52a,fc4c07d8-900d-4ef5-b080-34c64e26d848,fluent
a473bdba-d0c5-4c98-bf2a-78fa4a8fc4c8,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
a473bdba-d0c5-4c98-bf2a-78fa4a8fc4c8,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,native
835d6d27-05e7-4e0e-9474-455337d95b16,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,native
835d6d27-05e7-4e0e-9474-455337d95b16,e6a76862-a76d-433e-987a-e0eb9c92f281,native
e76d848f-664e-478a-a6ae-a24c63e70cd7,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
e76d848f-664e-478a-a6ae-a24c63e70cd7,7501fc06-284a-4834-a105-4ab7f78e8610,beginner
4fd5e63e-f43a-4015-a41c-fabe5d3649d9,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,beginner
793d8c87-5653-483a-95ab-4b8e97f8a35b,9423db92-96c8-4d76-b95e-c9cc15854ce5,conversational
793d8c87-5653-483a-95ab-4b8e97f8a35b,7987428a-4751-472e-88e2-5ff4598d5372,conversational
793d8c87-5653-483a-95ab-4b8e97f8a35b,7501fc06-284a-4834-a105-4ab7f78e8610,fluent
1f95ee40-8255-40d3-aa20-abd311effafb,8efe2c4e-1258-4530-a461-e750f00d5192,native
1f95ee40-8255-40d3-aa20-abd311effafb,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,conversational
1f95ee40-8255-40d3-aa20-abd311effafb,e6a76862-a76d-433e-987a-e0eb9c92f281,conversational
2d97ddae-92ab-4e58-a330-839180ad095d,8efe2c4e-1258-4530-a461-e750f00d5192,conversational
2d97ddae-92ab-4e58-a330-839180ad095d,fc4c07d8-900d-4ef5-b080-34c64e26d848,native
2d97ddae-92ab-4e58-a330-839180ad095d,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,native
90a9d186-482c-49a6-b239-b4f579eea7a3,b5e6b17c-21a2-4c5f-94f2-b53c1b459572,conversational
90a9d186-482c-49a6-b239-b4f579eea7a3,7987428a-4751-472e-88e2-5ff4598d5372,fluent
c0c477b5-07d8-4fb0-bfb1-f1966dbb12af,e6a76862-a76d-433e-987a-e0eb9c92f281,conversational
c0c477b5-07d8-4fb0-bfb1-f1966dbb12af,fc4c07d8-900d-4ef5-b080-34c64e26d848,fluent
c0c477b5-07d8-4fb0-bfb1-f1966dbb12af,8efe2c4e-1258-4530-a461-e750f00d5192,fluent
ad0d042d-e3e3-448f-9720-4633ac6e9604,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,beginner
42398576-01e9-42ff-8738-69490c7fad47,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,native
42398576-01e9-42ff-8738-69490c7fad47,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,native
fce7cfe5-e278-4d7b-af7e-54aaa7e5f40a,e6a76862-a76d-433e-987a-e0eb9c92f281,native
fce7cfe5-e278-4d7b-af7e-54aaa7e5f40a,7eb0f2fa-ba6d-4a75-a4d2-61c8aaa10f46,conversational
fce7cfe5-e278-4d7b-af7e-54aaa7e5f40a,9423db92-96c8-4d76-b95e-c9cc15854ce5,fluent
5f86de62-8dbf-409f-a992-49fa1cdf5e5c,e6a76862-a76d-433e-987a-e0eb9c92f281,beginner
5f86de62-8dbf-409f-a992-49fa1cdf5e5c,9423db92-96c8-4d76-b95e-c9cc15854ce5,conversational
5f86de62-8dbf-409f-a992-49fa1cdf5e5c,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,fluent
7b2c402b-31a4-4520-9c27-ec7ad4b0d7a9,9423db92-96c8-4d76-b95e-c9cc15854ce5,fluent
65c670c6-2728-485b-877c-9769a8f95ce9,9423db92-96c8-4d76-b95e-c9cc15854ce5,conversational
65c670c6-2728-485b-877c-9769a8f95ce9,8efe2c4e-1258-4530-a461-e750f00d5192,native
65c670c6-2728-485b-877c-9769a8f95ce9,7987428a-4751-472e-88e2-5ff4598d5372,native
b72a2958-4393-48e6-8797-ccd937d69d1e,5b990b5c-5aaf-4f6f-b79e-fdb42b248999,conversational
